region,type,amount,ind,date
17,6,1185.2,1,2018-04-01
17,6,1182.1,1,2018-07-01
21,7,1180.6,1,2017-10-01
21,7,1179.9,1,2018-05-01
17,6,1179.6,1,2018-05-01
23,0,1176.9,2,2018-07-01
21,7,1176.5,1,2017-12-01
23,0,1167.3,2,2018-03-01
23,0,1162.5,2,2018-06-01
170,0,1158.6,2,2017-12-01
23,0,1155.6,2,2017-11-01
23,0,1154.1,2,2018-02-01
21,7,1153.6,1,2018-04-01
170,0,1139.5,2,2017-11-01
170,1,1112.2,5,2018-01-01
23,0,1108.3,2,2017-09-01
21,7,1106.4,1,2018-01-01
170,1,1105.9,5,2017-12-01
170,0,1100.4,2,2017-10-01
22,7,1096.9,1,2018-07-01
170,0,1087.4,2,2017-09-01
170,0,1084.5,2,2018-07-01
170,0,1084.3,2,2017-08-01
23,0,1081.7,2,2017-08-01
17,6,1081.6,1,2017-10-01
22,7,1079.8,1,2018-06-01
22,0,1077.1,2,2018-03-01
23,0,1072.8,2,2018-01-01
17,6,1071.9,1,2017-12-01
170,0,1068.2,2,2018-04-01
170,0,1067.5,2,2018-05-01
17,6,1066.3,1,2018-01-01
170,1,1062.6,5,2017-11-01
170,1,1061.9,5,2017-10-01
22,7,1060.7,1,2018-05-01
22,0,1060,2,2018-05-01
17,6,1059.8,1,2018-02-01
170,0,1056.9,2,2018-06-01
17,6,1056.3,1,2017-11-01
22,0,1054,2,2018-02-01
170,1,1053.1,5,2018-06-01
17,6,1053,1,2018-03-01
17,6,1046.8,1,2017-09-01
22,0,1045,2,2018-04-01
22,7,1044.4,1,2017-12-01
22,7,1035.2,1,2018-01-01
22,7,1034.5,1,2018-03-01
375,2,1032.3,5,2018-06-01
170,1,1032,5,2017-09-01
22,7,1031.8,1,2018-02-01
170,1,1030.7,5,2018-07-01
170,1,1026.3,5,2018-05-01
22,7,1023.6,1,2018-04-01
375,2,1021.2,5,2018-07-01
22,7,1018.4,1,2017-10-01
22,7,1018,1,2017-11-01
22,0,1016.6,2,2018-06-01
170,1,1015.8,5,2018-03-01
170,1,1012,5,2018-02-01
22,7,1011.9,1,2017-08-01
22,7,1010.7,1,2017-09-01
375,2,1008.1,5,2018-05-01
22,0,1004,2,2018-07-01
170,1,1002.2,5,2018-04-01
17,6,995.1,5,2018-06-01
17,6,991.4,5,2018-07-01
170,2,989.6,5,2018-06-01
21,0,987.3,2,2018-03-01
170,1,986.9,5,2017-08-01
22,0,982.8,6,2018-06-01
17,6,982.7,1,2017-08-01
22,0,979.6,6,2018-03-01
22,0,974.9,6,2018-04-01
170,2,974.4,5,2018-07-01
